,Link,Profited,Page
0,https://bitinfocharts.com/bitcoin%20cash/address/13tmFkveuGzuUyQzdJ4U1jUnQX2vgHhGwY,1764387.216,3
1,https://bitinfocharts.com/bitcoin%20cash/address/1BsiykB1UDvU4vbn9qSA7iDKCpuQLKTDyS,496248.6982,5
2,https://bitinfocharts.com/bitcoin%20cash/address/1MDyWzZjhtM8h1vpDzoyi3Pe2KALsyE7FM,4200050.275,5
3,https://bitinfocharts.com/bitcoin%20cash/address/1CfrdGWi4XPXFkEHRerQ7tmwFuKPWMzyzW,1203947.16,5
4,https://bitinfocharts.com/bitcoin%20cash/address/12Ee7Q2RGMKHK6XUprabF2gCX9FfJnuYih,4816355.003,7
5,https://bitinfocharts.com/bitcoin%20cash/address/1QAA57VDgVMpUvDkdhoCPAJbpGcmz9vyBh,2540650.019,11
6,https://bitinfocharts.com/bitcoin%20cash/address/1BtdnF8TKg5N8pqfcamDyQrxho65T5FsqK,1123338.298,14
7,https://bitinfocharts.com/bitcoin%20cash/address/1W9sAKzr4wg29JXFykN3dP52tMA4Bc8F6,237424.1025,15
8,https://bitinfocharts.com/bitcoin%20cash/address/1JKNrJkhaShphGpcgX6SPDVpDjpAGXn4rq,698653.6327,16
9,https://bitinfocharts.com/bitcoin%20cash/address/18HXEi7aCXmqnZsssCFV2fgu2xfioaHiNC,23245.18923,21
10,https://bitinfocharts.com/bitcoin%20cash/address/14VtFzeW8UtQMWtJobEwya83kZN9jeT4P1,5799690.81,23
11,https://bitinfocharts.com/bitcoin%20cash/address/1AqFGn1m33NpJYg5s5HSxJHyqppeLMX76x,525060.3828,25
12,https://bitinfocharts.com/bitcoin%20cash/address/1H7Sho3MnJpPozA9m4sM6juvdNrHJmpif7,1919039.77,26
13,https://bitinfocharts.com/bitcoin%20cash/address/3LoCCb4GeXeo3f1X8BQEdQpBGXhXLs4yA2,5649806.186,28
14,https://bitinfocharts.com/bitcoin%20cash/address/1KKDdhmrLazsZFSXULNzgdvPmySwcjsJAA,411013.0786,29
15,https://bitinfocharts.com/bitcoin%20cash/address/17TTnHsnk1JguPFWYxaumMVbJJ4tQVjX3Q,16559.4373,30
16,https://bitinfocharts.com/bitcoin%20cash/address/1719XrRe1dWEMk3Y8acX8bBC7KxGsFtzDY,19436.373,32
17,https://bitinfocharts.com/bitcoin%20cash/address/1CjJrNK8cUAKotLHq83poWFxopzaey1m92,338107.8752,34
18,https://bitinfocharts.com/bitcoin%20cash/address/1Lp8qcmdmwzo1QmiotH23u4eUkjsi9RdLZ,431438.5384,37
19,https://bitinfocharts.com/bitcoin%20cash/address/1QEejrGbiqKn2bu89oUyfgiL1iTRpLiYz2,419973.209,38
20,https://bitinfocharts.com/bitcoin%20cash/address/14c68AjgJKaM1EjMYZih2ApygMRv4ki1QG,128464.6935,38
21,https://bitinfocharts.com/bitcoin%20cash/address/1NKCDFhmYd1Vrh9E9QSiTwworrkUtoBVo,468577.0292,40
22,https://bitinfocharts.com/bitcoin%20cash/address/1FtQxe8oUgACj4jDhubLWiJRdmBmfuDqjy,344433.0062,46
23,https://bitinfocharts.com/bitcoin%20cash/address/1Em2AiirvVmifJ297YH6v1XJmLBinWVG1t,337383.2472,47
24,https://bitinfocharts.com/bitcoin%20cash/address/1KgzVGgn8c1F1cCj9CxFnbs5j6EMnpXRnE,48409.12674,55
25,https://bitinfocharts.com/bitcoin%20cash/address/1NGqdkvFixiYByXgV1xrAHmxjoMFjhtXeA,1626.407522,56
26,https://bitinfocharts.com/bitcoin%20cash/address/36xKyrrviGFaDFG5VNiybDsfX3nyoG2LzK,233634.4425,63
27,https://bitinfocharts.com/bitcoin%20cash/address/1EHM2qF6L5F8xhvbV5YeiteLBpq6McJQFW,77867.29631,66
28,https://bitinfocharts.com/bitcoin%20cash/address/1F2e5y26VTdCdJKxH8yDS33iybMPSDQcSi,484609.4347,69
