,Link,Profited,Page
0,https://bitinfocharts.com/bitcoin%20sv/address/12mJcLca7WD1AqJngbtwrYZfEMi4Heme5c,4650.42529,29
1,https://bitinfocharts.com/bitcoin%20sv/address/1Dx4fZb2YQkjx7vJZtLEgWThJTGNwVuUGB,15718.32064,30
2,https://bitinfocharts.com/bitcoin%20sv/address/13HRJnKPZhJLDtBHjVWnh3qX9Z2egGkehy,47658.94461,48
3,https://bitinfocharts.com/bitcoin%20sv/address/17FEsQBn3FZmiZaQg2HybbQPzzDnhG8VTA,68841.50818,58
4,https://bitinfocharts.com/bitcoin%20sv/address/1D9QVxaDRQoSPxEwiUXtXWhanhPvRrKcYR,795461.4306,63
5,https://bitinfocharts.com/bitcoin%20sv/address/19aYCfmr5DP1LzfhSaxnwC4uSGzciNTjk5,95005.26158,66
6,https://bitinfocharts.com/bitcoin%20sv/address/15kTbdaJpxLufuenYWBGPs2a4LMRb2hzKm,404418.0156,68
7,https://bitinfocharts.com/bitcoin%20sv/address/147jQqoReyoswi3LWq9qD3n2hupTjp859i,359846.768,75
8,https://bitinfocharts.com/bitcoin%20sv/address/1NsLHmLbShG2tgwoB5jeGSaavhed7WuVci,464059.7712,80
9,https://bitinfocharts.com/bitcoin%20sv/address/1GjM7r9fhNZz8dWP3qCSqPoeM3v5jxt6HM,146769.7308,81
10,https://bitinfocharts.com/bitcoin%20sv/address/1KaE36pLiesLELjzHLxi4d9eDAVDQVFVdv,190306.2515,84
11,https://bitinfocharts.com/bitcoin%20sv/address/1LzcERxBXsm3bKtrwyEqqGW56asVKkLXDL,31444.22392,99
12,https://bitinfocharts.com/bitcoin%20sv/address/18Fm4UAdDp8pzqZARQPYA1LxQTMDCK5Y9n,2894.542563,10
13,https://bitinfocharts.com/bitcoin%20sv/address/1FZyTbD3Xt5HWQuDBr1VUAMwpWXM2uYxZg,1283838.589,13
