,Link,Profited,Page
0,https://bitinfocharts.com/bitcoin/address/1A7znRYE24Z6K8MCAKXLmEvuS5ixzvUrjH,53524366.84,3
1,https://bitinfocharts.com/bitcoin/address/1HutAGbbDCazKWXihUSUiWKTLBs4HAXchQ,10578507.1,7
2,https://bitinfocharts.com/bitcoin/address/1NznGtukoc7Y3bK9VSCJt2B3HfJmJ3oT5Y,7971990.308,11
3,https://bitinfocharts.com/bitcoin/address/16g2TW2hbFoov3DThSRBdnETaS94bFvq5v,21417071.93,17
4,https://bitinfocharts.com/bitcoin/address/17QVYyUMgWzZaTBHgXeA5hM5tnWHXtEmnQ,40487795.38,18
5,https://bitinfocharts.com/bitcoin/address/3HC3tgudKvnCRM35B5J7Jj9tdTKxagUpum,652437.7243,23
6,https://bitinfocharts.com/bitcoin/address/1AfdbCzDrRrMEqAXkF8kxVRCkPzB8HxoHD,1182652.064,25
7,https://bitinfocharts.com/bitcoin/address/1Aeg1JQdNj4e4rF4LJvMsa3jFmejEypB57,9775656.775,30
8,https://bitinfocharts.com/bitcoin/address/17NmsjGEYx16rDxXQRsAQUNPStp2dGxNVx,7818090.519,40
9,https://bitinfocharts.com/bitcoin/address/1M1RdciqSA93SAtPHbXXoLU7FfmiAKRrRZ,5288311.47,45
10,https://bitinfocharts.com/bitcoin/address/1JbZpEhHDuNqmquWyBu1zt5oorVsy28VMn,78700224.14,48
11,https://bitinfocharts.com/bitcoin/address/15j8Z16JSxdTjQcdKQJbnh2F3kuZUMYCay,704732.0542,53
12,https://bitinfocharts.com/bitcoin/address/1ArsyanRMyJWNo2FndN9BY8yLi2F6H9Jk9,968829.6085,64
13,https://bitinfocharts.com/bitcoin/address/16SgQsyge2ov79B4Ncp6DQfKNSxwE2hzsi,14291426.95,65
14,https://bitinfocharts.com/bitcoin/address/12QZkbxUDCJz7gsbyxFeWWapcWwUkNg7Ku,11352558.68,67
15,https://bitinfocharts.com/bitcoin/address/1MYkFz8bXgnfWpdE7cHFwFqaULV4o8xMJQ,1323959.047,69
16,https://bitinfocharts.com/bitcoin/address/1EkkGXR7dTbZbrKFKoe6YEP4gj4GzMeKvw,9277468.826,69
17,https://bitinfocharts.com/bitcoin/address/17oBR1dBaQaMcEuSwMB7KpBoBYAqoXrjmR,8077492.558,73
18,https://bitinfocharts.com/bitcoin/address/1LondZ1d4BWQNc7dWuTvzgZYavd6xtHUuk,363796.5356,76
19,https://bitinfocharts.com/bitcoin/address/18TA5gmCZ8cqa1mLpLgvfkoCgd5HgLweJ3,88496.57473,77
20,https://bitinfocharts.com/bitcoin/address/16FWg745HVmYfooAfDqNV5r7wpZmVLJd7q,2928480.79,78
21,https://bitinfocharts.com/bitcoin/address/1BnkEt2ceoVhnQVrqeAzigcroQ6MVyxFey,14175613.78,78
22,https://bitinfocharts.com/bitcoin/address/18e61pYYBr8SF9eS18AhkSMWo6DK6GXQ6S,244405.879,95
23,https://bitinfocharts.com/bitcoin/address/1BLwHL9TNP54GddeWAwfi6ufN8o7Ns4JFS,1608521.744,96
